#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
011001605111 93049576 42626.69 20161117 电子票 839124 10
#fpdm fphm fpje fprq 发票类型 jym fplx
#fplx 专票01 货票02 机车03 普票04 电子票10 卷票11
1100151160 00952771 432.78 20160823 专票 null 01
1300133730 00298375 99099.10 20160202 货运 null 02
113001422261 01755621 26068.38 20160215 机动车 null 03
1100162320 51142379 313.50 20170105 增值税普通发票 696240 04
1100162320 03663021 1509.43 20160728 增值税普通发票 857260 04
